iter	RMSE
0	1.1491581
1	1.136061405
2	1.129050915
3	1.119889044
4	1.109133299
5	1.099497763
6	1.088725966
7	1.077996318
8	1.068089135
9	1.061066004
10	1.054755837
11	1.047788049
12	1.040087165
13	1.033800419
14	1.028049323
15	1.018374251
16	1.011852707
17	1.004283989
18	0.998508718
19	0.9932859004
20	0.984738123
21	0.978148315
22	0.9720852488
23	0.9654687767
24	0.9622163742
25	0.9546959232
26	0.9494354956
27	0.9439488859
28	0.9390656404
29	0.9343936359
30	0.929608798
31	0.923951229
32	0.9203304846
33	0.9153346864
34	0.9089000539
35	0.9050168526
36	0.8981276668
37	0.8911133554
38	0.8857653676
39	0.8786030667
40	0.8756304188
41	0.8689851031
42	0.8661771036
43	0.8629088646
44	0.8585387029
45	0.8530472052
46	0.8494686073
47	0.8458845521
48	0.8410444988
49	0.8373214569
50	0.8332071969
51	0.8301782962
52	0.8265899375
53	0.8224059389
54	0.8184576424
55	0.815081077
56	0.8114070326
57	0.8078669595
58	0.8059503148
59	0.8029017862
60	0.7985243424
61	0.7961696164
62	0.7925780074
63	0.7902982617
64	0.7875881689
65	0.7844768487
66	0.7805505626
67	0.7778733944
68	0.7757165778
69	0.7734398272
70	0.7715435106
71	0.7684165902
72	0.7662351562
73	0.7642797809
74	0.7624672283
75	0.7598320534
76	0.7583840808
77	0.7564145954
78	0.7543766523
79	0.7516933322
80	0.7483332078
81	0.7441691273
82	0.7409494006
83	0.7383257294
84	0.7366209224
85	0.7345565294
86	0.7331654368
87	0.7309837496
88	0.7297636146
89	0.7275985563
90	0.725010298
91	0.723628164
92	0.7218799129
93	0.719362054
94	0.7171029348
95	0.7147189136
96	0.713577454
97	0.7114200234
98	0.7093343945
99	0.7090346843
100	0.7067370249
101	0.7055336533
102	0.7024921844
103	0.7006863515
104	0.698441963
105	0.6962194274
106	0.6942050904
107	0.6917585356
108	0.6904599834
109	0.6884796341
110	0.6864090938
111	0.6852500491
112	0.6836385483
113	0.6819466214
114	0.6794790038
115	0.6785697937
116	0.6777016203
117	0.6761095268
118	0.6758554785
119	0.6745481605
120	0.6734318405
121	0.6720410401
122	0.6703202218
123	0.6691697494
124	0.6684806008
125	0.666499178
126	0.6647031048
127	0.6628036855
128	0.6611789864
129	0.6596052772
130	0.6592401212
131	0.6572865239
132	0.6566354995
133	0.6554704752
134	0.6537909455
135	0.6513495881
136	0.6499241601
137	0.6489181348
138	0.6476362322
139	0.6466829295
140	0.6452737995
141	0.643694966
142	0.6422579113
143	0.6409216952
144	0.6403041699
145	0.638400879
146	0.6370051164
147	0.6352880927
148	0.6341825984
149	0.6330363527
150	0.6316854975
151	0.6307559421
152	0.6293067381
153	0.6277205262
154	0.6271170653
155	0.6258794888
156	0.6236258807
157	0.6218069069
158	0.6207315748
159	0.61904858
160	0.6179566056
161	0.6168813129
162	0.6159872419
163	0.6150759516
164	0.6143068598
165	0.6134591387
166	0.6122926961
167	0.6108478064
168	0.6098973763
169	0.6086156305
170	0.6071710431
171	0.6058524655
172	0.6045013631
173	0.6040189339
174	0.603282591
175	0.6025260421
176	0.6014882469
177	0.6007070473
178	0.5993321048
179	0.5981160209
180	0.5966283534
181	0.5960167247
182	0.595216919
183	0.5938823106
184	0.5931987507
185	0.5923484464
186	0.5913512339
187	0.5903081639
188	0.5893661644
189	0.5886682413
190	0.5872684684
191	0.5865075187
192	0.5858101367
193	0.5843745218
194	0.5836551937
195	0.5821068641
196	0.5813177552
197	0.5798817697
198	0.5786751236
199	0.5779630164
200	0.5770468894
201	0.576156893
202	0.575107178
203	0.5738858001
204	0.5725932833
205	0.5715852339
206	0.5703917205
207	0.569768532
208	0.5691025114
209	0.5677854231
210	0.5669976225
211	0.5661520954
212	0.5652513745
213	0.5640031273
214	0.5632830777
215	0.5620587984
216	0.5611454947
217	0.5601284179
218	0.5592524433
219	0.5579059016
220	0.5569492085
221	0.5561231315
222	0.5552472437
223	0.5541853631
224	0.5535467294
225	0.551995767
226	0.5508039965
227	0.5495614286
228	0.5486599397
229	0.5484197915
230	0.5482608246
231	0.547722602
232	0.5468495626
233	0.5461874205
234	0.5455928062
235	0.5450957708
236	0.5437920591
237	0.542843627
238	0.54195447
239	0.5408962386
240	0.5401079397
241	0.5391015651
242	0.5385278415
243	0.5376612574
244	0.5369457408
245	0.5358974636
246	0.5352893392
247	0.5343514421
248	0.5336826528
249	0.5327809311
250	0.5314746241
251	0.530637715
252	0.5297505028
253	0.529016678
254	0.5278124526
255	0.5266473362
256	0.5257562311
257	0.5243086865
258	0.523427317
259	0.5230458502
260	0.5220092279
261	0.5211187434
262	0.5203982442
263	0.5193580032
264	0.5184538469
265	0.5174598064
266	0.5164829386
267	0.515808837
268	0.5148298682
269	0.5139768765
270	0.513119577
271	0.512565048
272	0.51141455
273	0.5106277725
274	0.5098665109
275	0.509163081
276	0.5084501967
277	0.5076848111
278	0.5068462168
279	0.5059202045
280	0.5050116329
281	0.5043149754
282	0.5034399455
283	0.5024107614
284	0.5016600801
285	0.5009424392
286	0.5004574616
287	0.5000445756
288	0.4993650645
289	0.4983277781
290	0.4975106388
291	0.4969681168
292	0.4960942112
293	0.4954309759
294	0.4944107983
295	0.4934431265
296	0.4924846877
297	0.4918576787
298	0.4910011959
299	0.4901461968
300	0.489344996
301	0.4881507838
302	0.4871058028
303	0.4866036592
304	0.485931948
305	0.4848415715
306	0.483936815
307	0.4830546834
308	0.4821708377
309	0.481112747
310	0.4803265639
311	0.4795272291
312	0.478801525
313	0.478024081
314	0.4769874854
315	0.4759310393
316	0.4749503159
317	0.4739028667
318	0.4728559937
319	0.4718612677
320	0.4710415566
321	0.4704746522
322	0.4696692492
323	0.4689374481
324	0.4682492661
325	0.467538587
326	0.4668225555
327	0.4659224057
328	0.4651051988
329	0.4645015222
330	0.4636930784
331	0.4627675271
332	0.4619794781
333	0.4613103943
334	0.4605916441
335	0.4598717582
336	0.4590636759
337	0.458536923
338	0.4578502511
339	0.4572045864
340	0.4564837881
341	0.4555995719
342	0.4550533705
343	0.4545543891
344	0.4536605936
345	0.4529972088
346	0.4522796541
347	0.4513512237
348	0.4506980554
349	0.4498692601
350	0.4490976422
351	0.4484398512
352	0.4476287385
353	0.446712746
354	0.446001564
355	0.4453401171
356	0.4449023486
357	0.4441651277
358	0.4435612251
359	0.4428589292
360	0.4421525788
361	0.4415256728
362	0.4408581729
363	0.440183766
364	0.4394911133
365	0.4391054036
366	0.4385394856
367	0.4380286397
368	0.4371555726
369	0.4365853133
370	0.436235506
371	0.4355834004
372	0.434974311
373	0.4343995959
374	0.4335884211
375	0.4329732963
376	0.4323164244
377	0.4317952649
378	0.4310232845
379	0.4303270215
380	0.429577565
381	0.4290557791
382	0.4284520932
383	0.4277404603
384	0.4269746414
385	0.426438692
386	0.4258107106
387	0.4253644021
388	0.4247462076
389	0.424230221
390	0.4234565042
391	0.4228459706
392	0.4221634739
393	0.4215031118
394	0.4208975604
395	0.4205893311
396	0.4199537727
397	0.4195933098
398	0.4190087053
399	0.4183335373
400	0.4179063729
401	0.4172366802
402	0.416597682
403	0.4160063061
404	0.4154836753
405	0.4150720444
406	0.4146767615
407	0.4139547099
408	0.4132575581
409	0.4126051765
410	0.4119321751
411	0.4113646911
412	0.4107647358
413	0.4100254796
414	0.4092053869
415	0.4087270165
416	0.4079771857
417	0.4073737119
418	0.4067678292
419	0.4061693162
420	0.4056184303
421	0.4051707082
422	0.4045619128
423	0.4040030282
424	0.403358419
425	0.4029200821
426	0.4024324449
427	0.4019746779
428	0.4013925516
429	0.4009066522
430	0.4003163204
431	0.4000006252
432	0.3995780048
433	0.3990383539
434	0.3984431465
435	0.397932056
436	0.3973903531
437	0.3970382959
438	0.3964619973
439	0.3959182275
440	0.3955225108
441	0.3949209219
442	0.3945047416
443	0.3940178035
444	0.3934709834
445	0.39303545
446	0.3925633301
447	0.3920437564
448	0.3915870553
449	0.3910217222
450	0.3905614427
451	0.390148575
452	0.389698554
453	0.3893336858
454	0.3888837376
455	0.3885732494
456	0.3880641685
457	0.3876033142
458	0.3871926803
459	0.386848616
460	0.3864035314
461	0.3860347844
462	0.3855757016
463	0.3849823508
464	0.3845328132
465	0.3840602332
466	0.3836434505
467	0.3832113192
468	0.3826768635
469	0.3822254207
470	0.381686903
471	0.3811212208
472	0.3806458524
473	0.3801774359
474	0.3797965133
475	0.3793654089
476	0.3789538859
477	0.3785084332
478	0.3779979635
479	0.3776369502
480	0.3772554371
481	0.3767859961
482	0.3761954502
483	0.3757128844
484	0.3752087232
485	0.3748556564
486	0.3744134917
487	0.3740438231
488	0.3737431046
489	0.3732226794
490	0.3727172579
491	0.3724014296
492	0.3721253485
493	0.3715197848
494	0.3709336711
495	0.3703377855
496	0.369863769
497	0.3693911601
498	0.3690661267
499	0.3686283723
500	0.3682475371
501	0.3678897299
502	0.3675646908
503	0.3671781688
504	0.3667715279
505	0.3663565857
506	0.3660646454
507	0.3656805384
508	0.3653127096
509	0.3650213277
510	0.364629744
511	0.364156926
512	0.3638310639
513	0.3635023562
514	0.3629673466
515	0.3625616355
516	0.3621556193
517	0.3618176738
518	0.3614279006
519	0.3609497848
520	0.3606390957
521	0.3602473612
522	0.3599081959
523	0.3596271906
524	0.3592234948
525	0.3589345058
526	0.3585502286
527	0.3582188227
528	0.3577795796
529	0.3573540249
530	0.3570527992
531	0.3567037832
532	0.3563000613
533	0.3559170116
534	0.3555597795
535	0.3551953879
536	0.3548480087
537	0.3544934222
538	0.3540186805
539	0.3535268466
540	0.3532257574
541	0.3527577575
542	0.3523939855
543	0.3519242231
544	0.3514906105
545	0.3511569696
546	0.3508374625
547	0.3503621042
548	0.3500595693
549	0.3497527861
550	0.349351482
551	0.3489556392
552	0.3486328369
553	0.3482824413
554	0.3479554394
555	0.3475658395
556	0.3473041518
557	0.3468319151
558	0.3464258337
559	0.3460690013
560	0.345729969
561	0.3454683776
562	0.3451223569
563	0.3446752
564	0.3442528389
565	0.3439315548
566	0.3435805814
567	0.3431919792
568	0.3428679964
569	0.3426456714
570	0.3423750717
571	0.3419337751
572	0.3416499842
573	0.3412898838
574	0.3409876509
575	0.3406339508
576	0.3403616333
577	0.3399920435
578	0.33969973
579	0.3394227361
580	0.3391239487
581	0.3388699249
582	0.3386198728
583	0.3383221361
584	0.3380631717
585	0.3376681422
586	0.3372970564
587	0.3369080568
588	0.3365939066
589	0.3362740921
590	0.3358720512
591	0.3355565957
592	0.3351667977
593	0.3348297816
594	0.3344283918
595	0.3340842332
596	0.3336955926
597	0.3332896235
598	0.3329629734
599	0.3326470826
600	0.3323522178
601	0.3321438378
602	0.3318238313
603	0.331479769
604	0.3311621146
605	0.3308836797
606	0.3305772481
607	0.3301954407
608	0.3298667258
609	0.3296149413
610	0.3292599848
611	0.3289180019
612	0.3286787719
613	0.3283818803
614	0.3280992678
615	0.3277808364
616	0.3275313955
617	0.3272691136
618	0.3270164998
619	0.3267669781
620	0.326415298
621	0.3261198899
622	0.3258241888
623	0.3255112606
624	0.3252533823
625	0.3249648867
626	0.3246476731
627	0.3244192049
628	0.3240423511
629	0.3237975567
630	0.3235628716
631	0.3233236441
632	0.3231364009
633	0.3229169509
634	0.3225751486
635	0.3223175842
636	0.3220928706
637	0.3218266271
638	0.3214795667
639	0.3212023631
640	0.3208654408
641	0.3206614573
642	0.3202605995
643	0.3200377119
644	0.3198322
645	0.3195592188
646	0.3192790992
647	0.3188925772
648	0.3186809906
649	0.3184515554
650	0.318206072
651	0.3179443934
652	0.3176300995
653	0.3173518304
654	0.3170289788
655	0.3167451879
656	0.3164876834
657	0.3162301158
658	0.3160013514
659	0.3157491682
660	0.3154940601
661	0.3152301399
662	0.3149425964
663	0.3146932282
664	0.3144566026
665	0.3140996365
666	0.3138213102
667	0.313631377
668	0.3132826548
669	0.3130274036
670	0.3127364051
671	0.312350557
672	0.3121885457
673	0.3118808522
674	0.311609833
675	0.3113332258
676	0.3111241371
677	0.3109117181
678	0.3107268079
679	0.3104765572
680	0.3102619087
681	0.3100317984
682	0.3098133631
683	0.309561768
684	0.3093015773
685	0.3089609394
686	0.3086701714
687	0.30839682
688	0.3081898988
689	0.3079124888
690	0.3076552704
691	0.3073920701
692	0.3072113168
693	0.3070086399
694	0.3067220794
695	0.3064632723
696	0.3061683923
697	0.305916248
698	0.3056926308
699	0.3054229259
700	0.3052118914
701	0.3049691749
702	0.3047502677
703	0.3044400953
704	0.3043014833
705	0.3040806128
706	0.3038638635
707	0.3036275614
708	0.3033638485
709	0.303137114
710	0.3029049845
711	0.3027068448
712	0.3024466309
713	0.3021254708
714	0.3018238052
715	0.3016763731
716	0.3015089536
717	0.3013503569
718	0.3010977177
719	0.3008939866
720	0.3006919758
721	0.3004905806
722	0.3002838363
723	0.3000495222
724	0.2998321309
725	0.2995633889
726	0.2993786638
727	0.2991606456
728	0.2989248753
729	0.2986376514
730	0.2984450671
731	0.298234742
732	0.298060654
733	0.2979037463
734	0.297696519
735	0.2975489086
736	0.2973400945
737	0.2971182153
738	0.2968776047
739	0.2966721962
740	0.2965131984
741	0.29624451
742	0.2960780637
743	0.2959021775
744	0.2956499961
745	0.2954039782
746	0.2951701678
747	0.2948994439
748	0.2946324788
749	0.2943950149
750	0.2941764715
751	0.2939256797
752	0.2936936943
753	0.2935052573
754	0.2932598955
755	0.2930752031
756	0.2929102258
757	0.2927699051
758	0.2925839098
759	0.2923253425
760	0.2920984028
761	0.2918128201
762	0.291504269
763	0.291345032
764	0.2911382815
765	0.2909548124
766	0.2907958408
767	0.2905308765
768	0.2903864286
769	0.29019271
770	0.2900118343
771	0.2898049014
772	0.2896166792
773	0.2893796074
774	0.2890875309
775	0.2888915127
776	0.28871794
777	0.288508018
778	0.2883122807
779	0.2881040249
780	0.2879696311
781	0.2878239086
782	0.2876503399
783	0.2875053538
784	0.2873339676
785	0.28713491
786	0.2870005907
787	0.2868050602
788	0.2866011525
789	0.2864606971
790	0.2862257917
791	0.2860603133
792	0.2858038015
793	0.2855624482
794	0.285313407
795	0.2851779149
796	0.285047984
797	0.2847021064
798	0.2845217885
799	0.284385886
800	0.2841883341
801	0.2840045196
802	0.2838341381
803	0.2836432754
804	0.2834310394
805	0.2832060402
806	0.2829965669
807	0.2826842383
808	0.2825270816
809	0.2822693875
810	0.2821038958
811	0.2819309083
812	0.2817529864
813	0.2815709142
814	0.2813606972
815	0.2811788127
816	0.2809725968
817	0.2807820092
818	0.2806269088
