DATABASE_ID,SMILES,DRUG_GROUPS
DB00116,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,nutraceutical
DB00158,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,approved; nutraceutical; vet_approved
DB00162,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,approved; nutraceutical; vet_approved
DB00168,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,investigational; nutraceutical
DB00175,CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,approved
DB00176,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,approved; investigational
DB00177,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,approved; investigational
DB00178,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCC[C@@H]21,approved
DB00179,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,approved; investigational
DB00180,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,approved; investigational
DB00186,O=C1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1O,approved
DB00187,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,approved; withdrawn
DB00188,CC(C)C[C@H](NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,approved; investigational
DB00192,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,approved
DB00195,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,approved; investigational
DB00196,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,approved; investigational
DB00197,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2,approved; investigational; withdrawn
DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,approved
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,approved
DB00203,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,approved; investigational
DB00204,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,approved; investigational
DB00209,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,approved
DB00213,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,approved
DB00214,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,approved
DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,approved
DB00216,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,approved; investigational
DB00218,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,approved; investigational
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,approved
DB00223,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,approved
DB00227,CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,approved; investigational
DB00231,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,approved; investigational
DB00232,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,withdrawn
DB00234,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,approved; experimental
DB00238,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,approved
DB00240,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,approved
DB00243,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,approved; investigational
DB00245,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,approved
DB00246,Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1,approved
DB00247,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,approved
DB00253,CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,approved
DB00255,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,approved; investigational; withdrawn
DB00257,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,approved; vet_approved
DB00266,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,approved
DB00270,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,approved; investigational
DB00273,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,approved
DB00275,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,approved; investigational
DB00276,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,approved; investigational
DB00280,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,approved
DB00283,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,approved; investigational
DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,approved
DB00293,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,approved; investigational
DB00294,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,approved; investigational
DB00295,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,approved; investigational
DB00296,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,approved
DB00297,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,approved; investigational
DB00298,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,approved
DB00301,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,approved; investigational
DB00303,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CNC(C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,approved; investigational
DB00304,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,approved
DB00308,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,approved
DB00310,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,approved
DB00315,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,approved; investigational
DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,approved; investigational
DB00318,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,approved; illicit
DB00321,CN(C)CCC=C1c2ccccc2CCc2ccccc21,approved
DB00323,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,approved; withdrawn
DB00324,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,approved; investigational
DB00327,CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@H]3[C@H]1C5,approved; illicit
DB00328,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,approved; investigational
DB00332,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,approved; experimental
DB00333,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,approved
DB00334,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,approved; investigational
DB00338,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,approved; investigational; vet_approved
DB00340,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,approved
DB00341,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,approved
DB00343,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,approved; investigational
DB00344,CNCCCC1c2ccccc2C=Cc2ccccc21,approved
DB00346,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,approved; investigational
DB00348,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],approved; investigational
DB00349,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,approved; illicit
DB00351,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,approved; investigational; vet_approved
DB00353,CC[C@@H](CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,approved
DB00358,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,approved; investigational
DB00363,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,approved
DB00365,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,approved; investigational; withdrawn
DB00366,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,approved; vet_approved
DB00367,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,approved; investigational
DB00370,CN1CCN2c3ncccc3Cc3ccccc3C2C1,approved
DB00372,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,approved; withdrawn
DB00373,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,approved
DB00374,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,approved; investigational
DB00376,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,approved
DB00377,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,approved; investigational
DB00378,CC(=O)C1CC[C@H]2C3=CC=C4CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,approved; investigational; withdrawn
DB00381,CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,approved
DB00383,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,approved
DB00387,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,approved
DB00391,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,approved; investigational
DB00392,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,approved
DB00393,COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,approved; investigational
DB00396,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,approved; vet_approved
DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,approved; investigational
DB00400,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,approved; investigational; vet_approved
DB00401,COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],approved
DB00402,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,approved; investigational
DB00404,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,approved; illicit; investigational
DB00406,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,approved
DB00408,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,approved
DB00409,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,approved; withdrawn
DB00412,CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1,approved; investigational
DB00414,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,approved; investigational; withdrawn
DB00415,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,approved; vet_approved
DB00417,CC1(C)S[C@@H]2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,approved; vet_approved
