molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL3931028,CCCCOc1c(Cl)cc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1Cl,IC50,'=',400,nM
CHEMBL3233742,COc1cc2ccccc2c(Cc2c(-c3ccc(C)cc3)[nH][nH]c2=O)c1O,IC50,'>',200000,nM
CHEMBL3233748,CC(C)c1ccc(-c2[nH][nH]c(=O)c2Cc2c(O)ccc3nc(Cl)ccc23)cc1,IC50,'=',68000,nM
CHEMBL520706,O=C(/C=C/c1ccccc1)NCCc1c[nH]c2ccccc12,IC50,'=',173000,nM
CHEMBL200762,CC(NC(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,IC50,'=',35700,nM
CHEMBL200731,N#Cc1ccccc1/N=C/c1c(O)ccc2ccccc12,IC50,,,
CHEMBL491960,O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12,IC50,'=',59000,nM
CHEMBL3354220,Nc1c(CCc2ccccc2)oc2c(Br)cc(Cl)cc2c1=O,IC50,,,
CHEMBL2164015,CCCCC[C@@H]1CC(=O)c2cc(Cl)cc(Br)c2O1,IC50,'=',4500,nM
CHEMBL3354206,COC(=O)CCCC1CC(=O)c2cc(Cl)cc(Br)c2O1,IC50,'=',2000,nM
CHEMBL3354203,CCCCCC1CC(=O)c2cc(Br)ccc2O1,IC50,,,
CHEMBL3354202,O=C1CC(CCc2ccncc2)Oc2c(Br)cc(Cl)cc21,IC50,,,
CHEMBL3354201,O=C1CC(CCc2cccnc2)Oc2c(Br)cc(Cl)cc21,IC50,'=',3700,nM
CHEMBL3354197,O=C1CC(CCCCO)Oc2c(Br)cc(Cl)cc21,IC50,,,
CHEMBL270478,Cc1ccc(C2CC(=O)Oc3ccc4cc(Br)ccc4c32)cc1Cl,IC50,'=',2300,nM
CHEMBL405156,O=C1CC(c2ccc(F)cc2)c2c(ccc3cc(Br)ccc23)O1,IC50,'=',7900,nM
CHEMBL3354216,O=C1CC(CCCN2CCOCC2)Oc2c(Br)cc(Cl)cc21,IC50,,,
CHEMBL3105180,CCOC(=O)c1ccc2c(c1)nc(-c1ccc(N(C)C)cc1)n2CCO,IC50,'=',45120,nM
CHEMBL3105177,CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C)cc1)n2CCO,IC50,,,
CHEMBL222495,,,,,
CHEMBL385802,,,,,
CHEMBL374739,,,,,
CHEMBL200762,,,,,
CHEMBL596657,,,,,
CHEMBL215918,O=C(/C=C/c1ccc(OCc2ccc(F)cc2)cc1)NC1(C(=O)NCCc2c[nH]c3ccc(F)cc23)CCNCC1,IC50,'=',51000,nM
CHEMBL224844,,,,,
CHEMBL1814815,CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCNC(C)=O)NC(C)=O)C(N)=O,IC50,'=',2900,nM
CHEMBL3769988,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1,IC50,'=',3750,nM
CHEMBL595354,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1,IC50,'=',10000,nM
CHEMBL4455153,O=C(NCc1cccnc1)c1ccc2c(c1)C1C3CCC(C3)C1C(c1ccccc1)N2,IC50,'=',3800,nM
CHEMBL3358389,O=C(Nc1nc[nH]n1)c1cccc(-c2ccc3ccccc3c2)c1,IC50,'=',57000,nM
CHEMBL523988,CCCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,IC50,'=',4800,nM
CHEMBL380797,CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,IC50,'=',67000,nM
CHEMBL447677,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O,IC50,'=',10000,nM
CHEMBL3290214,CCOC(=O)c1ccc2c(c1)nc(-c1ccc([N+](=O)[O-])cc1)n2CCCN1CCCC1=O,IC50,,,
CHEMBL3290223,CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Cl)cc1)n2-c1ccccc1,IC50,,,
